1985,10/29/1984,East,West,Midwest,Southeast,W,X,Z,Y,04/01/1985
1986,10/28/1985,East,Midwest,Southeast,West,W,X,Y,Z,03/31/1986
1987,10/27/1986,East,Southeast,Midwest,West,W,X,Y,Z,03/30/1987
1988,11/2/1987,East,Midwest,Southeast,West,W,X,Y,Z,04/04/1988
1989,10/31/1988,East,West,Midwest,Southeast,W,X,Z,Y,04/03/1989
1990,10/30/1989,East,Midwest,Southeast,West,W,X,Y,Z,04/02/1990
1991,10/29/1990,East,Southeast,Midwest,West,W,X,Y,Z,04/01/1991
1992,11/4/1991,East,West,Midwest,Southeast,W,X,Z,Y,04/06/1992
1993,11/2/1992,East,Midwest,Southeast,West,W,X,Y,Z,04/05/1993
1994,11/1/1993,East,Southeast,Midwest,West,W,X,Y,Z,04/04/1994
1995,10/31/1994,East,West,Midwest,Southeast,W,X,Z,Y,04/03/1995
1996,10/30/1995,East,Midwest,Southeast,West,W,X,Y,Z,04/01/1996
1997,10/28/1996,East,Southeast,Midwest,West,W,X,Y,Z,03/31/1997
1998,10/27/1997,East,West,Midwest,South,W,X,Z,Y,03/30/1998
1999,10/26/1998,East,Midwest,South,West,W,X,Y,Z,03/29/1999
2000,11/1/1999,East,South,Midwest,West,W,X,Y,Z,04/03/2000
2001,10/30/2000,East,West,Midwest,South,W,X,Z,Y,04/02/2001
2002,10/29/2001,East,Midwest,South,West,W,X,Y,Z,04/01/2002
2003,11/4/2002,East,South,Midwest,West,W,X,Y,Z,04/07/2003
2004,11/3/2003,Atlanta,Phoenix,EastRutherford,StLouis,Y,Z,W,X,04/05/2004
2005,11/1/2004,Albuquerque,Chicago,Austin,Syracuse,X,W,Z,Y,04/04/2005
2006,10/31/2005,Atlanta,Oakland,Minneapolis,WashingtonDC,W,X,Y,Z,04/03/2006
2007,10/30/2006,East,South,Midwest,West,Y,Z,W,X,04/02/2007
2008,11/5/2007,East,Midwest,South,West,W,X,Y,Z,04/07/2008
2009,11/3/2008,East,South,Midwest,West,Y,Z,W,X,04/06/2009
2010,11/2/2009,East,South,Midwest,West,Y,Z,W,X,04/05/2010
2011,11/1/2010,East,West,Southeast,Southwest,W,X,Z,Y,04/04/2011
2012,10/31/2011,East,Midwest,South,West,Y,Z,W,X,04/02/2012
2013,11/5/2012,East,South,Midwest,West,Y,Z,W,X,04/08/2013
2014,11/4/2013,East,South,Midwest,West,X,W,Z,Y,04/07/2014
2015,11/3/2014,East,South,Midwest,West,Y,Z,W,X,04/06/2015
2016,11/2/2015,East,Midwest,South,West,Y,Z,W,X,04/04/2016
2017,10/31/2016,East,West,Midwest,South,W,X,Y,Z,04/03/2017
2018,10/30/2017,East,Midwest,South,West,Y,Z,W,X,04/02/2018
2019,11/5/2018,East,West,Midwest,South,W,X,Z,Y,04/08/2019
2020,11/4/2019,NA1,NA2,NA3,NA4,NA1,NA2,NA3,NA4,03/11/2020
